Planet_num Index Tc Tc_err
1 0 1715.35463150 0.00100100
1 2 1733.11627250 0.00141563
1 3 1741.99659250 0.00141563
1 5 1759.75923450 0.00200200
1 6 1768.63755250 0.00374348
1 8 1786.39919350 0.00101373
1 9 1795.28251650 0.00223831
1 10 1804.15983350 0.00223831
1 11 1813.04215550 0.00360916
1 12 1821.91747050 0.00100100
1 13 1830.80179450 0.00141563
1 14 1839.68111350 0.00100100
1 18 1875.20139250 0.00141563
1 20 1892.96303350 0.00100100
1 21 1901.84335350 0.00141563
1 22 1910.72167150 0.00100100
1 23 1919.60199150 0.00141563
1 28 1964.00359150 0.00223831
1 29 1972.88391150 0.00141563
1 30 1981.76523250 0.00100100
1 31 1990.64455150 0.00100100
1 32 1999.52487150 0.00331777
1 33 2008.40569200 0.00070781
1 80 2425.78123250 0.00223831
1 81 2434.66255350 0.00223831
1 82 2443.54287350 0.00100100
1 102 2621.15127550 0.00316544
1 103 2630.02759150 0.00141563
1 105 2647.78923250 0.00223831
1 106 2656.66855150 0.00141563
1 111 2701.07215350 0.00141563
1 113 2718.83279350 0.00141563
1 114 2727.71111150 0.00141563
1 115 2736.59143150 0.00141563
1 122 2798.75467250 0.00200200
1 123 2807.63499250 0.00412723
1 124 2816.51431150 0.00100100
1 125 2825.39563250 0.00141563
1 126 2834.27795450 0.00141563
1 127 2843.15677300 0.00070781
1 128 2852.03759350 0.00100100
1 135 2914.19683050 0.00141563
1 136 2923.07815150 0.00223831
1 137 2931.95747050 0.00223831
1 138 2940.83979250 0.00141563
1 139 2949.72011250 0.00153307
1 140 2958.60143350 0.00100100
1 178 3296.05059050 0.00223831
1 183 3340.45419250 0.00141563
1 184 3349.33451250 0.00100100
1 185 3358.21283050 0.00141563
1 186 3367.09615350 0.00141563
1 187 3375.97447150 0.00200840
1 188 3384.85379050 0.00283126
1 189 3393.73911550 0.00200200
1 190 3402.61743350 0.00223831
1 192 3420.37607150 0.00360916
1 194 3438.13771250 0.00447661
1 195 3447.01803250 0.00223831
1 196 3455.89935350 0.00100100
1 197 3464.77867250 0.00100100
1 198 3473.66199550 0.00141563
1 205 3535.82423550 0.00360916
1 206 3544.70055150 0.00100100
1 207 3553.58287350 0.00141563
1 208 3562.46319350 0.00200840
1 209 3571.34451450 0.00141563
1 210 3580.22283250 0.00100100
1 214 3615.74511350 0.00141563
1 216 3633.50675450 0.00141563
1 217 3642.38507250 0.00200200
1 219 3660.14471150 0.00141563
2 0 1726.05486750 0.00223831
2 1 1754.63336550 0.00100100
2 2 1783.21186350 0.00141563
2 3 1811.79937050 0.00316544
2 4 1840.37486550 0.00100100
2 6 1897.53586550 0.00223831
2 7 1926.11636550 0.00141563
2 25 2440.54534548 0.00200200
2 32 2640.60684348 0.00141563
2 34 2697.77184748 0.00141563
2 35 2726.35334848 0.00223831
2 38 2812.09685048 0.00412723
2 39 2840.67334648 0.00141563
2 42 2926.41985149 0.00223831
2 55 3297.97035549 0.00283126
2 57 3355.12935349 0.00141563
2 58 3383.71185549 0.00100100
2 60 3440.87685949 0.00141563
2 64 3555.19485549 0.00223831
2 65 3583.77235249 0.00153307
2 66 3612.34984948 0.00141563
2 67 3640.93034948 0.00223831
3 0 1743.55328850 0.00223831
3 1 1781.90368650 0.00100100
3 2 1820.26509551 0.00223831
3 4 1896.96188750 0.00500501
3 6 1973.66368450 0.00141563
3 18 2433.91650852 0.01205365
3 23 2625.67250252 0.00141563
3 24 2664.02490252 0.00153307
3 25 2702.35327849 0.00447661
3 26 2740.71769050 0.00223831
3 28 2817.41147949 0.00141563
3 31 2932.46267349 0.00141563
3 42 3354.30303745 0.00231437
3 43 3392.66044246 0.00141563
3 47 3546.07404646 0.00141563
3 49 3622.76983745 0.00223831
3 50 3661.12724246 0.00141563
