Planet_num Index Tc Tc_err
2 0 1726.05486750 0.00223831
2 1 1754.63336550 0.00100100
2 2 1783.21186350 0.00141563
2 3 1811.79937050 0.00316544
2 4 1840.37486550 0.00100100
2 6 1897.53586550 0.00223831
2 7 1926.11636550 0.00141563
2 25 2440.54534548 0.00200200
2 32 2640.60684348 0.00141563
2 34 2697.77184748 0.00141563
2 35 2726.35334848 0.00223831
2 38 2812.09685048 0.00412723
2 39 2840.67334648 0.00141563
2 42 2926.41985149 0.00223831
2 55 3297.97035549 0.00283126
2 57 3355.12935349 0.00141563
2 58 3383.71185549 0.00100100
2 60 3440.87685949 0.00141563
2 64 3555.19485549 0.00223831
2 65 3583.77235249 0.00153307
2 66 3612.34984948 0.00141563
2 67 3640.93034948 0.00223831
3 0 1743.55328850 0.00223831
3 1 1781.90368650 0.00100100
3 2 1820.26509551 0.00223831
3 4 1896.96188750 0.00500501
3 6 1973.66368450 0.00141563
3 18 2433.91650852 0.01205365
3 23 2625.67250252 0.00141563
3 24 2664.02490252 0.00153307
3 25 2702.35327849 0.00447661
3 26 2740.71769050 0.00223831
3 28 2817.41147949 0.00141563
3 31 2932.46267349 0.00141563
3 42 3354.30303745 0.00231437
3 43 3392.66044246 0.00141563
3 47 3546.07404646 0.00141563
3 49 3622.76983745 0.00223831
3 50 3661.12724246 0.00141563
